player_id,player_name,team,age,games_played,minutes,ppg,rpg,apg,spg,bpg,tov,fg_pct,fg3_pct,ft_pct,plus_minus,oreb,dreb,fg3a,fta,fga,off_rating,def_rating,net_rating,ts_pct,usg_pct,ast_pct,oreb_pct,dreb_pct,efg_pct,pie,salary,years_remaining,contract_type,salary_2627,salary_2728,salary_2829,salary_2930,salary_3031,guaranteed_millions,availability_pct,position,salary_millions,pct_scoring,pct_playmaking,pct_rebounding,pct_efficiency,pct_defense_steals,pct_defense_blocks,pct_availability,pct_ts,pct_usg,pct_net_rating,pct_pie,pct_off_rating,pct_def_rating,pct_defense,ts_pct_display,pie_display
203903,Jordan Clarkson,NYK,33.0,72,17.8,8.6,1.8,1.3,0.4,0.1,0.9,0.451,0.327,0.83,1.5,0.9,0.9,3.0,1.3,7.3,115.4,111.7,3.7,0.548,0.203,0.11,0.047,0.049,0.517,0.068,12947835.0,0,Expiring,0.0,0.0,0.0,0.0,0.0,10.65,87.8,SG,12.95,0.465,0.285,0.107,0.301,0.132,0.133,0.818,0.307,0.696,0.747,0.191,0.749,0.655,0.307,54.8,6.8
1641775,Jordan Walsh,BOS,22.0,68,17.8,5.4,4.0,0.8,0.7,0.5,0.5,0.509,0.384,0.772,1.4,1.3,2.8,1.8,0.8,3.9,117.9,112.8,5.1,0.623,0.114,0.059,0.069,0.146,0.599,0.08,2221677.0,1,Multi-Year,2.41,0.0,0.0,0.0,0.0,0.2,82.9,PF,2.22,0.182,0.11,0.583,0.829,0.452,0.684,0.729,0.811,0.077,0.808,0.367,0.867,0.581,0.572,62.3,8.0
1642857,Kasparas Jakučionis,MIA,19.0,53,17.8,6.2,2.6,2.6,0.6,0.1,0.9,0.429,0.423,0.879,1.4,0.8,1.8,2.9,1.2,4.5,115.9,112.9,3.0,0.614,0.129,0.178,0.04,0.096,0.567,0.073,3658800.0,3,Multi-Year,3.84,4.02,6.21,0.0,0.0,7.5,64.6,PG,3.66,0.265,0.635,0.287,0.684,0.331,0.133,0.486,0.773,0.142,0.694,0.263,0.771,0.569,0.344,61.4,7.3
1630167,Obi Toppin,IND,28.0,24,17.7,11.6,4.4,2.3,0.5,0.0,1.2,0.503,0.352,0.913,-1.4,0.5,3.9,4.4,1.9,8.3,113.9,117.5,-3.6,0.636,0.241,0.193,0.03,0.206,0.595,0.143,14000000.0,2,Multi-Year,15.0,16.02,0.0,0.0,0.0,45.02,29.3,PF,14.0,0.634,0.573,0.645,0.81,0.217,0.032,0.182,0.866,0.847,0.388,0.934,0.65,0.203,0.151,63.6,14.3
1629750,Javonte Green,DET,32.0,82,17.6,6.9,2.8,0.7,1.2,0.3,0.5,0.447,0.381,0.84,2.6,0.8,2.0,3.0,1.5,5.0,113.0,105.4,7.6,0.607,0.143,0.052,0.042,0.112,0.56,0.095,2296274.0,0,Expiring,0.0,0.0,0.0,0.0,0.0,2.3,100.0,SG,2.3,0.316,0.079,0.327,0.635,0.858,0.443,0.982,0.711,0.256,0.889,0.568,0.553,0.954,0.752,60.7,9.5
1630165,Killian Hayes,SAC,24.0,23,17.6,5.5,2.3,3.5,0.9,0.2,1.2,0.304,0.27,0.929,-0.8,0.2,2.2,2.7,1.2,6.0,107.8,110.6,-2.8,0.422,0.179,0.265,0.009,0.117,0.366,0.071,263940.0,0,Minimum,0.0,0.0,0.0,0.0,0.0,0.26,28.0,PG,0.26,0.197,0.783,0.206,0.015,0.653,0.282,0.176,0.019,0.526,0.43,0.239,0.18,0.754,0.563,42.2,7.1
201587,Nicolas Batum,LAC,37.0,74,17.5,4.0,2.5,0.9,0.6,0.3,0.5,0.403,0.404,0.818,-0.2,0.3,2.2,3.1,0.1,3.2,113.2,113.8,-0.5,0.603,0.092,0.069,0.018,0.119,0.597,0.058,5601600.0,1,Multi-Year,5.88,0.0,0.0,0.0,0.0,5.6,90.2,PF,5.6,0.072,0.149,0.258,0.818,0.331,0.443,0.852,0.693,0.014,0.517,0.107,0.579,0.469,0.414,60.3,5.8
1641737,Adem Bona,PHI,23.0,71,17.4,4.8,4.3,0.5,0.4,1.2,0.8,0.595,0.333,0.708,-0.1,1.8,2.5,0.1,1.6,3.1,113.1,112.8,0.3,0.638,0.108,0.034,0.099,0.138,0.6,0.069,1955377.0,2,Multi-Year,2.3,2.49,0.0,0.0,0.0,0.0,86.6,C,1.96,0.144,0.04,0.632,0.841,0.132,0.944,0.797,0.877,0.052,0.572,0.209,0.567,0.581,0.552,63.8,6.9
1629006,Josh Okogie,HOU,27.0,78,17.4,4.5,2.6,0.9,0.8,0.2,0.5,0.425,0.385,0.594,0.9,1.0,1.5,2.1,0.9,3.8,115.4,109.9,5.6,0.544,0.112,0.065,0.059,0.085,0.531,0.056,2296274.0,0,Expiring,0.0,0.0,0.0,0.0,0.0,2.3,95.1,SG,2.3,0.127,0.149,0.287,0.407,0.552,0.282,0.936,0.283,0.062,0.822,0.089,0.749,0.81,0.548,54.4,5.6
1629020,Jarred Vanderbilt,LAL,27.0,65,17.3,4.4,4.5,1.3,0.8,0.3,0.9,0.471,0.293,0.589,0.1,1.2,3.3,1.5,0.9,3.7,113.9,113.7,0.2,0.544,0.119,0.098,0.073,0.194,0.531,0.08,11571429.0,2,Multi-Year,12.43,13.29,0.0,0.0,0.0,24.0,79.3,PF,11.57,0.111,0.285,0.655,0.407,0.552,0.443,0.672,0.283,0.096,0.562,0.367,0.65,0.481,0.492,54.4,8.0
